product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Eva02 Kadın Ev Terlik,19.9,0.0,0,noShipping,66,1850,MUGGO,66,1
Mor Hanem Puf Ponpon Model Kadın Ev Terliği,48.9,99.8,51,noShipping,80,2,MorHanem,80,1
Kadın Ev Terliği Pofuduk Çapraz Ev Terliği,29.9,49.9,40,noShipping,90,107,StWenn,90,1
Ananas Kadın Terlik Kışlık Ev Terliği,38.7,66.5,41,noShipping,82,27,Moda Frato,82,1
Kadın Bej Terlik,29.99,32.99,9,noShipping,77,14,ayakkabıhavuzu,77,1
Unisex Beyaz Maskeli Kedi Desenli Önü Açık Ev Terlik Yumuşak Taban,34.9,39.9,12,noShipping,83,39,Chochili,83,1
Kartanesi Yumuşacık Ev Terliği,14.99,59.0,74,noShipping,76,15,EBRULİ BUTİK06,76,1
Kadın Siyah Günlük Deniz Plaj Havuz Bahçe Terliği 38,23.76,55.0,56,noShipping,89,88,KAŞGAR,89,1
Kadın Çapraz Peluş Ev Terliği,69.99,89.99,22,noShipping,80,4,Lurji,80,1
Pukka Collection Içi Kürklü Ev Terliği,29.99,79.99,62,noShipping,50,2,UCC,50,1
Smt-01 Açık Kadın Ev Terliği Kışlık Terlik,29.0,49.83,41,noShipping,82,391,Moda Frato,82,1
Kaymaz Yumuşak Taban Yıkanabilir Kışlık Havlu Sıcak Tutan Kadın Ev Terliği Çeyiz Terliği,39.9,79.99,50,noShipping,80,3,GEZER,80,1
Capone E020 Kışlık Kadın Ev Terliği,59.98,0.0,0,noShipping,95,20,Capone Outfitters,95,1
Siyah Kadın Ev Terliği Kışlık Tüylü Taşlı Terlik Içi Yumuşak Taban Terlik Süslü Çeyiz Bohça Terliği,38.79,79.99,51,noShipping,93,26,Modafırsat,93,1
Stwenn Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,21.99,0.0,0,noShipping,72,3221,Nmoda,72,1
Kadın Beyaz Şeffaf Terlik Şık Yumuşak Terlik,19.99,69.99,71,noShipping,87,142,Modafırsat,87,1
Kadın Kahverengi Leopar Desenli Önü Açık Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,83,6,Chochili,83,1
Kartanesi Yumuşacık Ev Terliği,14.1,0.0,0,noShipping,94,56,TROYAN 1868,94,1
Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,29.9,59.0,49,noShipping,87,23,StWenn,87,1
Kadın Sessiz Taban Kışlık Polar Ev Terliği,15.9,0.0,0,noShipping,92,180,ODESA AYAKKABI MARKET,92,1
Mor Lila Kadın Çapraz Peluş Terlik Pofuduk Kürklü Ev Terliği Şık Misafir Çeyiz Bohça Günlük Terlik,49.98,69.99,28,noShipping,94,23,Modafırsat,94,1
Unisex İçi Peluş Kaydırmaz Taban Ev Terliği Gri,55.53,199.99,72,noShipping,90,23,Beyond,90,1
Açık Kadın Ev Terliği Kışlık Terlik,29.0,49.83,41,noShipping,85,61,Moda Frato,85,1
Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir,39.9,69.9,42,noShipping,90,595,Fogs,90,1
Unisex Sarı Limon Desenli Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,91,60,Chochili,91,1
Kapalı Islak Zemin Terliği (kaydırmaz Plastik),29.99,49.0,38,noShipping,91,40,GEZER,91,1
Kadın Siyah Rahat Günlük Terlik Ba20446,99.98,149.99,33,noShipping,78,36,Weynes,78,1
Kadın Kışlık Ev Terliği,28.7,79.99,64,noShipping,89,158,GEZER,89,1
Kadın Gri Çapraz Peluş Ev Terliği 1026,39.99,0.0,0,noShipping,88,2294,OCT Shoes,88,1
Ekose Havlu Kumaş Kadın Terlik Ev Terliği,39.1,79.8,51,noShipping,100,1,MorHanem,100,1
Kadın Kışlık Yumuşak Kaymaz Taban Misafir Terliği,29.99,59.99,50,noShipping,100,2,YILDIRIM AYAKKABICILIK,100,1
Kadın Pembe Çapraz Peluş Ev Terliği,39.99,0.0,0,noShipping,86,2010,OCT Shoes,86,1
Mor Hanem Kışlık Kapalı Kadın Ev Terliği,26.36,53.8,51,noShipping,68,41,MorHanem,68,1
Unisex Mavi Pizzalı Yumuşak Tabanlı Ev Terlik,34.9,39.9,12,noShipping,82,98,Chochili,82,1
Anatomik Kaydırmaz Taban Banyo Tuvalet Terlik,39.8,69.0,42,noShipping,90,51,BRN,90,1
Kadın Kahverengi Tokalı Günlük Terlik,39.9,99.9,60,noShipping,84,25,Fateks Terlik,84,1
Yumuşak Taban Taşlı Şık Kışlık Ev Terliği,29.99,69.99,57,noShipping,100,6,YILDIRIM AYAKKABICILIK,100,1
Unisex Ev Terliği Ses Yapmaz Taban,24.4,79.9,69,noShipping,84,844,Nmoda,84,1
Kadın Köpekli Terlik,46.0,129.9,64,noShipping,81,18,Ekol Ayakkabi,81,1
Havlu Kışlık Kadın Ev Terliği,39.9,89.9,55,noShipping,86,18,GEZER,86,1
Renkli Desen Kadın Ev Terliği,24.4,59.8,59,noShipping,86,6,MorHanem,86,1
Kırmızı Puantiye Kadın Önü Kapalı Terlik Peluş Ev Terliği Kışlık Yıkanabilir Çeyiz Bohça Terliği,49.95,59.99,16,noShipping,87,14,Modafırsat,87,1
Byz01 Kadın Terlik,29.0,49.83,41,noShipping,81,686,Moda Frato,81,1
Kadın Siyah Pırlanta Serisi Klasik Mavi Şeritli Tokalı Terlik,29.89,59.99,50,noShipping,82,69,GEZER,82,1
Beyaz Kadın Terlik 16400,37.91,0.0,0,noShipping,72,8,SOHO,72,1
Ev Terliği - Lacivert - Ayakkabı Havuzu,11.5,22.99,49,noShipping,90,8,ayakkabıhavuzu,90,1
Unisex Ev Terliği,39.45,59.99,34,noShipping,84,5,Ekol Ayakkabi,84,1
Erkek Lacivert Kurukafa Desenli Önü Açık Çeyiz Bohça Ev Terliği,34.9,39.9,12,noShipping,92,5,Chochili,92,1
Siyah Buket Kadın Ev Terliği Kışlık Kapalı Yumuşak Rahat Terlik Nakışlı Doğum Çeyiz Misafir Terliği,26.44,59.98,55,noShipping,96,25,Modafırsat,96,1
Ucc Unisex Pofuduk Peluşlu Ev Terliği Taba,24.99,69.99,64,noShipping,100,5,JOTAA,100,1
Siyah Kadın Kışlık Kürklü Püsküllü Terlik Tüylü Ses Yapmaz Ev Terliği Şık Çeyiz Bohça Doğum Terliği,29.08,74.95,61,noShipping,88,9,Modafırsat,88,1
Kadın Bakır Terlik,11.0,21.99,49,noShipping,85,4,ayakkabıhavuzu,85,1
Motif Rp-suettt Erkek Ev Terliği Kışlık Terlik,99.83,0.0,0,freeShipping,92,1185,Moda Frato,92,2
Peluş Ev Botu,79.99,0.0,0,noShipping,95,62,DeFacto,95,2
Werner Siyah Mat Faylon Taban Içi Tüylü Kadın Ev Terliği,99.4,299.9,66,freeShipping,87,88,NİŞANTAŞI SHOES,87,2
